t#,time,x0,x1,x2,v1,v2,v3
103,2.67673e-07,0.0753111,0.00524712,0,1.55292e+06,63096.5,-13194.1,
104,2.6876e-07,0.0770003,0.00531598,0,1.55291e+06,63494.5,-11611.9,
105,2.70022e-07,0.0789596,0.00539635,0,1.55291e+06,63910.4,-9728.47,
106,2.71663e-07,0.0815082,0.00550163,0,1.5529e+06,64369.8,-7221.01,
107,2.725e-07,0.0828079,0.00555559,0,1.5529e+06,64566.3,-5923.97,
108,2.73307e-07,0.0840611,0.00560776,0,1.5529e+06,64730.7,-4663.74,
109,2.74114e-07,0.0853143,0.00566006,0,1.55289e+06,64870.1,-3398.41,
110,2.74675e-07,0.0861847,0.00569645,0,1.55289e+06,64952.1,-2517.22,
111,2.75118e-07,0.0868723,0.00572522,0,1.55289e+06,65008.2,-1820.89,
112,2.76066e-07,0.088346,0.00578696,0,1.55289e+06,65102.7,-332.584,
113,2.76418e-07,0.0888924,0.00580987,0,1.55289e+06,65128.9,218.085,
114,2.77162e-07,0.0900476,0.00585834,0,1.55288e+06,65168.5,1379.56,
115,2.77979e-07,0.091316,0.00591157,0,1.55288e+06,65187.8,2649.13,
116,2.78956e-07,0.0928326,0.00597524,0,1.55288e+06,65178.1,4157.19,
117,2.79932e-07,0.0943493,0.00603888,0,1.55288e+06,65134.2,5647.69,
118,2.81037e-07,0.0960649,0.00611079,0,1.55287e+06,65044.8,7310.05,
119,2.8178e-07,0.0972178,0.00615906,0,1.55287e+06,64962.3,8410.52,
120,2.82522e-07,0.0983708,0.00620725,0,1.55287e+06,64862.9,9495.4,
121,2.83265e-07,0.0995238,0.00625537,0,1.55287e+06,64747,10566.2,
122,2.84007e-07,0.100677,0.0063034,0,1.55286e+06,64615.6,11620.6,
123,2.85037e-07,0.102275,0.00636981,0,1.55286e+06,64408.7,13055.7,
124,2.86066e-07,0.103874,0.006436,0,1.55286e+06,64176.1,14454.8,
125,2.8674e-07,0.10492,0.00647917,0,1.55286e+06,64010.5,15352.7,
126,2.8772e-07,0.106442,0.00654181,0,1.55286e+06,63752.9,16630.2,
127,2.88701e-07,0.107965,0.00660418,0,1.55286e+06,63477.9,17871.3,
128,2.90055e-07,0.110069,0.00668992,0,1.55286e+06,63072.4,19527.9,
129,2.91186e-07,0.111825,0.00676104,0,1.55286e+06,62715,20857,
130,2.92182e-07,0.113372,0.00682335,0,1.55285e+06,62388.6,21986.5,
131,2.93434e-07,0.115315,0.00690115,0,1.55285e+06,61965.6,23352.1,
132,2.94755e-07,0.117366,0.00698271,0,1.55285e+06,61506.1,24731.9,
133,2.96076e-07,0.119418,0.00706365,0,1.55285e+06,61037.3,26048.8,
134,2.97511e-07,0.121647,0.00715089,0,1.55285e+06,60519.4,27414.1,
135,2.98628e-07,0.123381,0.00721826,0,1.55285e+06,60114.4,28425.9,
136,3.00143e-07,0.125733,0.0073089,0,1.55285e+06,59565.7,29730.3,
137,3.01658e-07,0.128085,0.00739872,0,1.55285e+06,59017.7,30964.3,
138,3.03172e-07,0.130438,0.00748771,0,1.55285e+06,58483.8,32112.2,
139,3.04376e-07,0.132307,0.00755787,0,1.55285e+06,58067.4,32973.9,
140,3.0558e-07,0.134177,0.00762754,0,1.55285e+06,57656.6,33797.1,
141,3.06784e-07,0.136047,0.00769672,0,1.55285e+06,57257.3,34575.1,
142,3.08135e-07,0.138144,0.00777374,0,1.55285e+06,56815.3,35411.2,
143,3.10052e-07,0.141121,0.00788211,0,1.55285e+06,56209.3,36519.1,
144,3.10814e-07,0.142303,0.0079248,0,1.55285e+06,55975.9,36934.4,
145,3.11814e-07,0.143857,0.00798067,0,1.55285e+06,55687.5,37442.9,
146,3.12815e-07,0.145411,0.00803625,0,1.55285e+06,55407.8,37930,
147,3.14079e-07,0.147375,0.0081061,0,1.55284e+06,55063.5,38519.1,
148,3.15385e-07,0.149402,0.00817775,0,1.55284e+06,54724.2,39091.4,
149,3.16954e-07,0.151838,0.0082633,0,1.55284e+06,54336,39736.4,
150,3.18522e-07,0.154274,0.00834825,0,1.55283e+06,53967.7,40339.5,
151,3.20091e-07,0.15671,0.00843264,0,1.55283e+06,53618.9,40904,
152,3.21981e-07,0.159644,0.00853359,0,1.55282e+06,53229,41530.4,
153,3.24138e-07,0.162993,0.00864794,0,1.55281e+06,52819.9,42185,
154,3.34921e-07,0.179736,0.00920894,0,1.55256e+06,51420.9,44605.2,
155,3.43224e-07,0.192626,0.00963464,0,1.55166e+06,51298.1,45737.3,
156,3.49498e-07,0.202354,0.00995895,0,1.54946e+06,52324,46294.3,
157,3.55755e-07,0.212033,0.010294,0,1.54339e+06,55075.4,46643.2,
158,3.60452e-07,0.219263,0.0105584,0,1.53425e+06,57244.5,46797.7,
159,3.6515e-07,0.226445,0.0108281,0,1.52329e+06,57173.6,46865.7,
160,3.70647e-07,0.234788,0.0111372,0,1.51316e+06,55192.6,46850.5,
161,3.76143e-07,0.243087,0.0114352,0,1.50692e+06,53316.5,46757.3,
162,3.81919e-07,0.251778,0.0117393,0,1.50324e+06,52133.7,46585.4,
163,3.88172e-07,0.261171,0.0120633,0,1.50118e+06,51600.7,46332.7,
164,3.94425e-07,0.270555,0.0123856,0,1.50016e+06,51549.7,46019.7,
165,3.99786e-07,0.278595,0.0126624,0,1.49976e+06,51719.3,45711.2,
166,4.05147e-07,0.286635,0.0129403,0,1.4996e+06,51980.9,45377.6,
167,4.12273e-07,0.297322,0.0133121,0,1.49971e+06,52360.2,44897.5,
168,4.2407e-07,0.31502,0.0139323,0,1.50092e+06,52682.4,44034,
169,4.29133e-07,0.32262,0.0141988,0,1.50219e+06,52563.6,43645.2,
170,4.36101e-07,0.333098,0.014564,0,1.50523e+06,52277.9,43101.5,
171,4.46166e-07,0.348278,0.015092,0,1.51142e+06,52944.2,42339.5,
172,4.5623e-07,0.363517,0.0156339,0,1.51626e+06,54799.7,41590.5,
173,4.68288e-07,0.381819,0.0163075,0,1.51914e+06,56826.5,40698.6,
174,4.82936e-07,0.404081,0.0171533,0,1.52024e+06,58550.3,39627.8,
175,5.06868e-07,0.440465,0.0185783,0,1.52019e+06,60415.4,37910.1,
176,5.34848e-07,0.482994,0.020293,0,1.51984e+06,62118.2,35918.5,
177,5.52587e-07,0.509954,0.0214039,0,1.51975e+06,63115.4,34639.8,
178,5.58894e-07,0.51954,0.0218031,0,1.51974e+06,63461.3,34178.8,
179,5.59197e-07,0.52,0.0218223,0,1.51974e+06,63477.8,34156.6,
